ID,Order Type,Franchisee,Date,Status
3748,New,Art of Drawers Tampa,7/18/2025 4:37 PM,Measurement Appointment Scheduled
3743,New,Art of Drawers Austin,"7/17/2025 8:28 PM,7/18/2025 7:01 AM",Measurement Appointment Scheduled
3726,New,Art of Drawers Charlotte,7/18/2025 8:54 AM,Measurement Appointment Scheduled
3718,New,Art of Drawers Fort Lauderdale,7/15/2025 5:42 PM,Measurement Appointment Scheduled
3717,New,Art of Drawers Portland,7/19/2025 6:38 PM,Measurement Appointment Scheduled
3716,New,Art of Drawers Tampa,7/18/2025 7:35 AM,Measurement Appointment Scheduled
3701,New,Art of Drawers Cedar Grove,7/14/2025 9:23 PM,Measurement Appointment Scheduled
3698,New,ILM Testing/Training,7/14/2025 9:37 AM,Measurement Appointment Scheduled
3695,New,Art of Drawers Chicago,7/16/2025 11:43 AM,Measurement Appointment Scheduled
3694,New,Art of Drawers Austin,7/13/2025 1:40 PM,Measurement Appointment Scheduled
3693,New,Art of Drawers Dallas,7/16/2025 9:53 PM,Measurement Appointment Scheduled
3687,New,Art of Drawers Tampa,7/15/2025 10:43 PM,Measurement Appointment Scheduled
3684,New,Art of Drawers Buffalo,7/14/2025 9:18 PM,Measurement Appointment Scheduled
3681,New,Art of Drawers Cincinnati,7/15/2025 8:54 AM,Measurement Appointment Scheduled
3678,New,Art of Drawers Kansas City,7/16/2025 9:15 PM,Measurement Appointment Scheduled
3676,New,Art of Drawers Charlotte,7/14/2025 3:48 PM,Measurement Appointment Scheduled
3674,New,Art of Drawers Birmingham,7/14/2025 10:39 AM,Measurement Appointment Scheduled
1799,New,Art of Drawers Dallas,7/14/2025 9:30 AM,Measurement Appointment Scheduled
3743,New,Art of Drawers Austin,"7/17/2025 8:35 PM,7/18/2025 7:38 AM,7/19/2025 11:46 AM",Measurement Approved
R3742,Reorder,Art of Drawers Austin,7/17/2025 6:23 PM,Measurement Approved
3720,New,Art of Drawers Buffalo,7/18/2025 2:44 PM,Measurement Approved
R3710,Reorder,Art of Drawers Fort Lauderdale,7/14/2025 3:33 PM,Measurement Approved
R3709,Reorder,Art of Drawers Fort Lauderdale,7/14/2025 3:30 PM,Measurement Approved
3701,New,Art of Drawers Cedar Grove,7/16/2025 10:41 AM,Measurement Approved
3698,New,ILM Testing/Training,7/14/2025 9:39 AM,Measurement Approved
3695,New,Art of Drawers Chicago,7/16/2025 2:26 PM,Measurement Approved
3694,New,Art of Drawers Austin,7/13/2025 1:49 PM,Measurement Approved
3685,New,Art of Drawers Charleston,"7/16/2025 9:21 PM,7/18/2025 10:35 AM",Measurement Approved
3684,New,Art of Drawers Buffalo,7/17/2025 8:53 PM,Measurement Approved
3683,New,Art of Drawers Buffalo,7/18/2025 2:30 PM,Measurement Approved
3682,New,Art of Drawers Buffalo,7/18/2025 2:36 PM,Measurement Approved
3678,New,Art of Drawers Kansas City,7/19/2025 6:04 PM,Measurement Approved
3676,New,Art of Drawers Charlotte,7/15/2025 9:20 AM,Measurement Approved
3675,New,Art of Drawers Buffalo,7/17/2025 10:55 PM,Measurement Approved
3674,New,Art of Drawers Birmingham,"7/14/2025 4:20 PM,7/14/2025 5:17 PM",Measurement Approved
3665,New,Art of Drawers Tampa,7/14/2025 2:05 PM,Measurement Approved
3664,New,Art of Drawers Detroit,7/16/2025 11:49 AM,Measurement Approved
3638,New,Art of Drawers Fort Lauderdale,"7/14/2025 3:58 PM,7/19/2025 11:18 AM",Measurement Approved
3637,New,Art of Drawers Omaha,7/15/2025 4:10 PM,Measurement Approved
3631,New,Art of Drawers Fort Lauderdale,"7/15/2025 12:26 PM,7/19/2025 11:45 AM",Measurement Approved
3625,New,Art of Drawers Connecticut,7/15/2025 10:58 AM,Measurement Approved
3607,New,Art of Drawers Buffalo,7/16/2025 12:49 PM,Measurement Approved
3604,New,Art of Drawers Connecticut,7/14/2025 4:46 PM,Measurement Approved
3592,New,Art of Drawers Charleston,7/15/2025 7:05 AM,Measurement Approved
3583,New,Art of Drawers Buffalo,7/16/2025 10:34 AM,Measurement Approved
3579,New,Art of Drawers North Atlanta,"7/16/2025 5:13 PM,7/17/2025 5:25 PM",Measurement Approved
3477,New,Art of Drawers Columbus,7/14/2025 5:31 PM,Measurement Approved
3457,New,Art of Drawers Connecticut,7/15/2025 9:19 AM,Measurement Approved
3329,New,Art of Drawers Buffalo,"7/16/2025 10:20 AM,7/18/2025 3:03 PM",Measurement Approved
3311,New,Art of Drawers Chicago,7/15/2025 3:34 PM,Measurement Approved
3135,New,Art of Drawers Chicago,7/16/2025 11:51 AM,Measurement Approved
C3745,Claim,Art of Drawers Omaha,7/18/2025 2:40 PM,Submitted to Manufacturing Partner
R3742,Reorder,Art of Drawers Austin,7/18/2025 4:16 PM,Submitted to Manufacturing Partner
C3741,Claim,Art of Drawers Birmingham,7/17/2025 3:09 PM,Submitted to Manufacturing Partner
C3739,Claim,Art of Drawers Buffalo,7/17/2025 12:45 PM,Submitted to Manufacturing Partner
C3738,Claim,Art of Drawers Cincinnati,7/17/2025 11:20 AM,Submitted to Manufacturing Partner
C3737,Claim,Art of Drawers Detroit,7/17/2025 11:16 AM,Submitted to Manufacturing Partner
C3736,Claim,Art of Drawers Raleigh,7/17/2025 11:05 AM,Submitted to Manufacturing Partner
C3735,Claim,Art of Drawers Buffalo,7/17/2025 10:48 AM,Submitted to Manufacturing Partner
C3734,Claim,Art of Drawers Denver,7/17/2025 10:40 AM,Submitted to Manufacturing Partner
WC3733,New,Art of Drawers Cedar Grove,7/17/2025 10:33 AM,Submitted to Manufacturing Partner
C3729,Claim,Art of Drawers Omaha,7/16/2025 4:24 PM,Submitted to Manufacturing Partner
C3728,Claim,Art of Drawers Raleigh,7/16/2025 3:51 PM,Submitted to Manufacturing Partner
C3725,Claim,Art of Drawers Cincinnati,7/16/2025 9:03 AM,Submitted to Manufacturing Partner
C3724,Claim,Art of Drawers Cincinnati,7/15/2025 6:21 PM,Submitted to Manufacturing Partner
C3723,Claim,Art of Drawers Cincinnati,7/15/2025 6:13 PM,Submitted to Manufacturing Partner
C3722,Claim,Art of Drawers Cincinnati,7/15/2025 5:43 PM,Submitted to Manufacturing Partner
C3721,Claim,Art of Drawers Austin,7/15/2025 4:38 PM,Submitted to Manufacturing Partner
3720,New,Art of Drawers Buffalo,7/18/2025 4:43 PM,Submitted to Manufacturing Partner
C3715,Claim,Art of Drawers Omaha,7/15/2025 9:14 AM,Submitted to Manufacturing Partner
C3714,Claim,Art of Drawers Tampa,7/14/2025 5:35 PM,Submitted to Manufacturing Partner
C3713,Claim,Art of Drawers Tampa,7/14/2025 5:34 PM,Submitted to Manufacturing Partner
C3712,Claim,Art of Drawers Buffalo,7/14/2025 5:26 PM,Submitted to Manufacturing Partner
C3711,Claim,Art of Drawers Buffalo,7/14/2025 5:23 PM,Submitted to Manufacturing Partner
R3710,Reorder,Art of Drawers Fort Lauderdale,7/18/2025 4:14 PM,Submitted to Manufacturing Partner
R3709,Reorder,Art of Drawers Fort Lauderdale,7/18/2025 4:11 PM,Submitted to Manufacturing Partner
C3708,Claim,Art of Drawers Denver,7/14/2025 3:17 PM,Submitted to Manufacturing Partner
C3707,Claim,Art of Drawers Tampa,7/14/2025 3:10 PM,Submitted to Manufacturing Partner
WC3706,New,Art of Drawers Cedar Grove,7/14/2025 2:06 PM,Submitted to Manufacturing Partner
C3705,Claim,Art of Drawers Raleigh,7/14/2025 1:39 PM,Submitted to Manufacturing Partner
C3704,Claim,Art of Drawers Tampa,7/14/2025 1:36 PM,Submitted to Manufacturing Partner
C3703,Claim,Art of Drawers Tampa,7/14/2025 1:05 PM,Submitted to Manufacturing Partner
C3702,Claim,Art of Drawers Tampa,7/14/2025 12:38 PM,Submitted to Manufacturing Partner
3701,New,Art of Drawers Cedar Grove,7/16/2025 11:30 PM,Submitted to Manufacturing Partner
C3700,Claim,Art of Drawers Columbus,7/14/2025 12:20 PM,Submitted to Manufacturing Partner
C3699,Claim,Art of Drawers Twin Cities,7/14/2025 12:12 PM,Submitted to Manufacturing Partner
C3697,Claim,Art of Drawers Denver,7/14/2025 8:41 AM,Submitted to Manufacturing Partner
C3696,Claim,Art of Drawers Dallas Fort Worth,7/14/2025 8:38 AM,Submitted to Manufacturing Partner
3695,New,Art of Drawers Chicago,7/16/2025 11:47 PM,Submitted to Manufacturing Partner
3694,New,Art of Drawers Austin,7/14/2025 1:41 PM,Submitted to Manufacturing Partner
3692,New,Art of Drawers Denver,7/14/2025 1:34 PM,Submitted to Manufacturing Partner
3691,New,Art of Drawers North Atlanta,7/14/2025 9:30 AM,Submitted to Manufacturing Partner
3690,New,Art of Drawers North Atlanta,7/14/2025 4:44 PM,Submitted to Manufacturing Partner
3689,New,Art of Drawers Denver,7/14/2025 1:12 PM,Submitted to Manufacturing Partner
R3688,Reorder,Art of Drawers Cincinnati,7/15/2025 5:30 PM,Submitted to Manufacturing Partner
